Crop Name,Growth Stage,DAS (Days After Sowing),Ideal Water Required (in mm),IF Condition,Farmer Advisory
Jowar,Germination & Seedling,0 to 25,30 to 50,> 50,"Tolerates better than most, but prolonged logging is harmful."
Jowar,Vegetative Growth,25 to 55,40 to 60,>= 40 & <= 60,Moderate moisture
Jowar,Vegetative Growth,25 to 55,40 to 60,< 40,"Drought-tolerant, but irrigation will boost growth."
Jowar,Vegetative Growth,25 to 55,40 to 60,> 60,Can handle brief waterlogging due to its hardy nature.
Jowar,Flowering,55 to 70,50 to 70,>= 50 & < = 75,Critical Stage. High demand
Jowar,Flowering,55 to 70,50 to 70,< 50,Critical.?rrigation at this stage is essential for good grain yield.
Jowar,Flowering,55 to 70,50 to 70,> 75,Not typically an issue due to high water use.
Jowar,Grain Filling,70 to 95,40 to 60,>= 40 & <= 60,Moderate moisture
Jowar,Grain Filling,70 to 95,40 to 60,< 40,Moisture stress now can reduce grain weight.
Jowar,Grain Filling,70 to 95,40 to 60,> 60,Not typically an issue.
Jowar,Maturation,95+,0,0,Dry down
Jowar,Maturation,95+,0,> 0,Stop irrigation. Requires a dry field for harvest.
Maize,Germination & Seedling,0 to 20,30 to 50,>= 30 & <= 50,Adequate moisture
Maize,Germination & Seedling,0 to 20,30 to 50,< 30,Ensure soil is moist for uniform emergence.
Maize,Germination & Seedling,0 to 20,30 to 50,> 50,Poor tolerance. Drain water to prevent seed rot.
Maize,Vegetative Growth,20 to 40,50 to 75,>= 50 & < = 75,Moderate moisture
Maize,Vegetative Growth,20 to 40,50 to 75,< 50,Regular irrigation supports rapid growth.
Maize,Vegetative Growth,20 to 40,50 to 75,> 75,Avoid waterlogging.
Maize,Tasseling & Silking,40 to 65,75 to 100,>= 75 & <= 100,Most Critical Stage.
Maize,Tasseling & Silking,40 to 65,75 to 100,< 75,DO NOT STRESS.?rought causes poor pollination and kernel set.
Maize,Tasseling & Silking,40 to 65,75 to 100,> 100,Good drainage is important.
Maize,Grain Filling,65 to 95,50 to 75,>= 50 & < = 75,High demand
Maize,Grain Filling,65 to 95,50 to 75,< 50,Irrigation needed for plump kernels and high yield.
Maize,Grain Filling,65 to 95,50 to 75,> 75,Not typically an issue.
Maize,Maturation,0 to 30,0 to 30,>= 0 & <= 30,Dry down
Maize,Maturation,0 to 30,0 to 30,> 30,Stop irrigation. Grain must dry down for harvest.
Tur,Germination & Seedling,0 to 30,30 to 50,>= 30 & <= 50,Adequate moisture
Tur,Germination & Seedling,0 to 30,30 to 50,< 30,A light irrigation ensures good stand establishment.
Tur,Germination & Seedling,0 to 30,30 to 50,> 50,Highly sensitive. Must have well-drained soil to prevent rot.
Tur,Vegetative Growth,30 to 90,40 to 60,>= 40 & <= 60,Moderate moisture
Tur,Vegetative Growth,30 to 90,40 to 60,< 40,"Drought-tolerant, but irrigation promotes growth."
Tur,Vegetative Growth,30 to 90,40 to 60,> 60,Avoid waterlogging at all costs.
Tur,Flowering & Pod Development,90 to 130,50 to 70,>= 50 & < = 75,Critical Stage.
Tur,Flowering & Pod Development,90 to 130,50 to 70,< 50,Critical.?rrigation prevents flower and pod drop.
Tur,Flowering & Pod Development,90 to 130,50 to 70,> 75,Ensure field is not waterlogged.
Tur,Pod Filling,130 to 160,40 to 60,>= 40 & <= 60,Moderate moisture
Tur,Pod Filling,130 to 160,40 to 60,< 40,"Water stress now will result in small, poorly filled seeds."
Tur,Maturation,160+,0,0,Dry down
Tur,Maturation,160+,0,> 0,Stop irrigation. Harvest when pods are dry.
Onion,Planting (Transplanting),0 to 20,20 to 30,>= 20 & <= 30,Saturated mud
Onion,Planting (Transplanting),0 to 20,20 to 30,< 20,Water thoroughly after transplanting to establish roots.
Onion,Planting (Transplanting),0 to 20,20 to 30,> 30,Ensure good drainage; do not transplant into flooded fields.
Onion,Vegetative Growth,20 to 60,25 to 40,>= 25 & <= 40,Consistent moisture
Onion,Vegetative Growth,20 to 60,25 to 40,< 25,"Frequent, light irrigation is key.?tress slows bulb development."
Onion,Vegetative Growth,20 to 60,25 to 40,> 40,Reduce watering. Overwatering promotes diseases and rot.
Onion,Bulb Formation,60 to 90,40 to 50,>= 40 & <= 50,Increased demand
Onion,Bulb Formation,60 to 90,40 to 50,< 40,Maintain consistent moisture for proper bulb expansion.
Onion,Bulb Formation,60 to 90,40 to 50,> 50,Avoid overwatering. Can cause splitting and reduce storage quality.
Onion,Bulb Formation,90 to 120,0 to 20,>= 0 & <= 20,Dry down
Onion,Bulb Formation,90 to 120,0 to 20,> 20,Stop irrigation.?et field dry completely to cure bulbs before harvest.
